Рыба №	Опыт №	Проба №	Маршрут
2	26	3	НОИИИКА+ДССДШХЦЩГ+КЛЖТ
2	26	4	НОФХША+ШХЦЩГ+КЛЖТ
2	26	5	ПОМЛЖТТСЗКЛЖТ
2	26	6	НОМКЗСТ
2	26	7	НОМККЛВЛККЛЖТ
2	26	8	НОМКЗСТ
2	27	1	ПОФХША+ШХЦЩГ+Г-Г-ЗСТ
2	27	2	ПОИКШХЦЩГ+ЩЦХША+ШХЦЩКЛЖТ
2	27	3	НОИКДССДА+ДССДА-ШХЦЩЗСТ
2	27	4	ПОФХШШХЦКККЛВЛКЩЦХША+ШХЦЦХШДСР
2	27	5	НОМКЗСССССТ
2	27	6	НОМКЗСТ
2	27	7	НОИКА+ШХЦЩЗСТ
2	27	8	ПОИКДСР
2	27	9	ПОИКА+ШХФФЦЩКЛМООИЛБЛКДССДА-ДСР
2	27	10	НОМЛЖТТСЗГ+ЗССЗГ-ЗСТ
4	5	1	 НОММООФЩЩКЛБЛМООФЦЩККГ+КОЖССТТСССССЗЩЦЦЩЦФООИИИЛЛККЛЕССР
4	5	2	НОФФИМЛЖССЖЛЛЛКЩЦФООФЦЩКЛЖССЖЛЛЛММЛЖССТ
4	5	3	НОИКА+ШХЦЩКЛЛКЩЦХША-ШХЦЩЗСЖЛМИИИКШХХШДССДШХЦЗССЗЦХША+ШХХШКЛЛКШХХШДССДШХХШККДСР
4	6	1	ПУОООООМЛЖСТ
4	6	2	ПОФФФЦЩКЛЖТ
4	6	3	НОФЦЗЗКЛЛКГ-ЩЗСССССЖЛКЗССЗЩЦХХЦЩЦХША+ШХХША-ККШХХШШХЦЩКЛЖСЗКЛЛКЗЗЩЦЦЩЗСЖЛЛЖСЗЩЦЦЦХШДССССДА-ШХХШДДШХЦГ-СТ
4	6	4	НОФХША+ШХЦЩЗСЖЖТ
4	6	5	НОООИИФЦЦЦЩЗСЖЛКЩЦХХЦЗСССЖЛКГ+ЗЗЩЦФФХХФИИИЛЕСДККА-ШХХШДСЕЛКШХЦЩЗЗЩЦЦЗССЗЩЦЦЗЗЦЦЦХША-ККДССДШХХШДСССССР
4	7	1	НОФХША+ШХЦЩККЗССЗГ+ЩЦХХФООИЛКДССДА-ШХЦЩКЛМФЦЩЗССЗККЩЦЦЦХШДССДШХХШДССДШХЦЗСЖЛММЛЛМФХШКЛЕСССДШШДСР
4	7	2	ПОИЛЕСДА+ККШХХШШХЦЩКЛЛМООИЛЕББЛЛЕР
4	8	1	НОФЦЩКЛЖСЗЩЦФФЦЦХША+ШХХШККДСЕББЛЛБЛКШХФФХША-ДССДШХХШДСР
4	8	2	ПОМЛЛМИЛЕСДШХЦЩЗСТ
4	8	3	НОМЛВЛКЗСТ
4	8	4	ПОФФООФХША+ШХХШДДШХХШКККЛЛКДСР
4	8	5	ПОООИКА+КЛЛИИККЛЕСДШХЦЩГ+КЛЛКЩЦФФЦЩГ-ЗСТ
4	8	6	ПОФХХЦЩГ+КЛЛКЩЦХША+КИИКА-А-А-А-ШХХША-ДСЕЛИИИИИИКА-ШХЦЩГ-ККГ-ЗССЗГ-ЗЗГ-ЩЦХХЦЩГ-ЗСТ
4	9	1	НОФФООИЛБЕСДА+ККА-ДССДККА-ДСР
